
List of user-set options:

                                    Name   Value                used
                           linear_solver = mumps                 yes
                  ma57_automatic_scaling = yes                    no
                                max_iter = 10000                 yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_lMtildeState_actdyn_GPOPS_IPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:   254728
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

 159 9.5560914e+000 1.31e-002 1.55e-001  -5.0 3.63e+000  -3.6 8.38e-001 1.07e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160 9.4516407e+000 2.08e-002 7.54e-002  -5.2 1.42e+000  -3.2 1.00e+000 2.36e-001h  1
 161 9.3951494e+000 1.73e-002 2.70e-002  -5.2 5.40e-001  -2.8 1.00e+000 3.43e-001h  1
 162 9.3502909e+000 4.29e-001 9.17e-002  -5.3 9.40e-001  -2.4 1.00e+000 7.30e-001h  1
 163 9.2920021e+000 2.91e-001 5.78e-002  -4.4 5.87e-001  -2.8 1.00e+000 4.06e-001h  1
 164 9.1660014e+000 1.98e-001 7.84e-002  -4.5 1.66e+000  -3.3 7.82e-001 2.82e-001h  1
 165 9.0840425e+000 1.45e+000 7.69e-002  -4.2 1.34e+000  -2.9 9.75e-001 6.08e-001h  1
 166 9.0228941e+000 6.21e-001 2.16e-002  -4.4 2.71e-001  -2.5 1.00e+000 1.00e+000h  1
 167 8.9834372e+000 5.69e-002 2.08e-003  -5.3 9.55e-002  -2.0 9.98e-001 1.00e+000h  1
 168 8.9330548e+000 1.17e-001 3.50e-002  -5.7 3.71e-001  -2.5 1.00e+000 5.76e-001h  1
 169 8.8850496e+000 8.81e-002 1.34e-002  -4.5 7.21e-001  -3.0 1.00e+000 2.85e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170 8.7682938e+000 7.08e-002 6.56e-002  -4.3 2.02e+000  -3.5 9.48e-001 2.58e-001f  1
 171 8.7332909e+000 8.28e-003 2.54e-003  -5.3 1.33e-001  -2.1 1.00e+000 1.00e+000h  1
 172 8.6972840e+000 5.22e-003 3.77e-002  -6.3 3.14e-001  -2.6 1.00e+000 4.14e-001h  1
 173 8.6323287e+000 4.38e-003 1.43e-002  -6.0 8.93e-001  -3.1 1.00e+000 2.94e-001f  1
 174 8.6068323e+000 3.08e-003 1.80e-002  -6.5 3.38e-001  -2.7 1.00e+000 3.07e-001h  1
 175 8.5755402e+000 2.71e-003 2.52e-002  -6.9 9.90e-001  -3.1 1.00e+000 1.38e-001h  1
 176 8.5641378e+000 2.66e-003 7.97e-002  -6.5 5.66e+000  -3.6 1.00e+000 1.88e-002h  1
 177 8.4760147e+000 2.70e-003 1.61e-001  -4.6 6.87e+000  -4.1 6.57e-001 6.26e-002f  1
 178 8.3482793e+000 5.91e-003 8.95e-002  -4.9 2.88e+000  -3.7 1.00e+000 2.16e-001f  1
 179 8.2765788e+000 4.57e-003 2.55e-002  -5.5 1.12e+000  -3.3 9.99e-001 3.09e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180 8.2406323e+000 2.69e-003 8.43e-003  -5.3 4.25e-001  -2.8 1.00e+000 4.30e-001h  1
 181 8.2051409e+000 9.37e-003 6.27e-003  -6.3 1.63e-001  -2.4 1.00e+000 1.00e+000h  1
